LAT,LON,T [°C]
-15.78944444,-47.92583332,23.1
-16.64277777,-49.22027777,25.1
-17.745066,-49.101698,
-14.46944443,-48.48583333,
-13.30944444,-49.11749999,
-14.53333333,-49.96666666,
-15.43333333,-50.36666666,
-15.907513,-48.119977,
-10.14777777,-48.31444444,
-12.615,-47.87194443,25.9
-18.96916666,-50.63333333,
-16.26055555,-47.96694443,23.8
-15.90277777,-52.24527777,
-15.93972221,-50.14138888,26.3
-14.97972221,-49.53944444,
-17.9236111,-51.71749999,24.3
-14.08916666,-46.36638888,26.3
-12.01527777,-48.54444444,
-11.74499999,-49.05166666,22.2
-8.9686111,-48.17722221,27.7
-7.10388888,-48.20111111,
-15.22027777,-48.98999999,
-16.96694443,-51.81749999,25.6
-14.13305554,-47.52333332,17.4
-17.78527777,-50.965,
-17.45472222,-52.60111111,
-16.9625,-50.42555554,27.5
-16.42305554,-51.14888888,
-17.33694444,-49.91472222,
-12.82055554,-50.33583333,
-13.25361111,-46.89027777,
-17.30416666,-48.28416666,25.5
-18.154779,-47.927614,25.9
-18.40972222,-49.19194444,
-16.78499999,-47.61305555,21.0
-16.67972221,-48.61805554,22.8
-11.59444444,-46.84722221,27.0
-11.88749999,-49.60833333,28.0
-10.43444444,-45.92194443,21.8
-9.57638888,-49.72333332,25.2
-15.59972221,-48.1311111,
-8.15472222,-46.63944444,
-5.6436111,-48.11194444,32.1
-15.596491,-47.625801,20.1
-15.93527777,-48.13749999,22.1
-16.012222,-47.557417,
-7.124191,-48.781267,
-8.092708,-48.478605,
-9.793363,-47.132732,24.7
-10.47694443,-49.62944443,
-11.42888888,-48.18499999,
-11.28416666,-47.21222222,25.2
-12.59222221,-49.5286111,23.6
-10.828286,-49.847882,26.0
-16.39944444,-47.62583332,
-3.10333333,-60.01638888,33.4
-9.35833333,-69.92638888,
-9.95920402,-67.86898266,31.8
-7.61055555,-72.6811111,
-6.65027777,-69.8686111,
-8.77666666,-67.33249999,30.8
-7.26055555,-64.7886111,29.8
-7.5525,-63.07138888,27.3
-7.20555555,-59.8886111,27.3
-3.08666666,-67.8936111,
-4.09749999,-63.14527777,
-3.29472221,-60.62833332,
-3.58333333,-59.12944443,
-3.13333333,-58.48277777,
-3.39888888,-57.67388888,
-2.63916666,-56.75611111,30.8
-2.53472221,-57.75805555,29.0
-2.6336111,-59.60055555,25.1
-2.05666666,-60.02583332,
-2.628982,-60.941108,
-0.98722221,-62.92416666,28.5
-5.7886111,-61.28833333,29.7
-0.125207,-67.061246,25.9
2.81694443,-60.69083333,29.3
-8.26722221,-72.74777777,
-8.95,-72.78666666,
-8.14277777,-70.3436111,27.4
-11.02388888,-68.73527777,29.0
-8.0911111,-60.38055554,29.5
-1.411228,-48.439512,27.3
-1.30083333,-47.94805555,26.8
-2.52666666,-44.21361111,26.0
-7.45555555,-46.02749999,
-7.33722221,-47.45972222,
-3.74277777,-43.35222222,26.9
-5.81611111,-46.16222222,29.5
-7.56176,-49.69884,
-3.51083333,-52.96333333,
-3.8436111,-50.63805555,29.3
-3.86416666,-54.21638888,28.2
-2.90055555,-47.49499999,29.3
-2.59249999,-48.36055555,28.6
-4.82749999,-48.1736111,25.4
-0.61888888,-47.35666666,26.0
-6.63972221,-51.95694444,
-2.27083332,-43.62416666,
-2.59222221,-42.7075,25.7
-1.66111111,-45.37249999,25.9
-4.24305555,-44.79499999,30.2
-5.50666666,-45.23694444,
-6.03305554,-44.23333333,26.6
-9.10833333,-45.93194443,26.1
-6.65333333,-47.41833332,28.4
-5.55583333,-47.45972222,30.1
-1.05583333,-46.78277777,26.5
-0.72777777,-48.51583333,26.6
-1.68027777,-50.47805554,
-3.82277777,-49.67499999,30.0
-6.07749999,-50.14222221,
-4.27694443,-55.99305555,31.4
-1.88083332,-55.51972221,27.2
-9.34055555,-50.35027777,28.0
-6.74333333,-51.14194444,
-4.24388888,-49.93944444,25.5
-2.23972221,-49.49972221,
-4.82138888,-43.3436111,24.0
-4.32055554,-46.44944444,28.8
-2.0,-54.07638888,29.9
-5.36638888,-49.05111111,
-8.30361111,-49.28277777,25.7
3.81361111,-51.8625,24.7
1.49666666,-50.91666666,
0.69416666,-51.40388888,26.8
-1.82194443,-52.11166666,26.9
-6.31999999,-55.78777777,
-7.11055555,-49.9261111,28.9
-1.73472221,-47.0575,
0.03499999,-51.08888888,
-2.5025,-54.72027777,28.7
0.56777777,-50.8236111,
-4.28055554,-47.56388888,28.7
-3.26999999,-52.39472221,27.9
-8.04333333,-50.00694444,29.6
-3.26916666,-45.65111111,28.1
-8.72972221,-49.85638888,30.9
-8.05916666,-34.95916666,
0.91694443,-29.34583333,
-9.55111111,-35.77027777,22.7
-5.83722221,-35.20805555,25.6
-3.81583333,-38.53777777,
-3.74805555,-40.34583333,
-9.38833333,-40.52333332,26.8
-3.08666666,-41.78305554,26.0
-8.4336111,-37.05555555,19.2
-6.975451,-35.718128,
-6.76138888,-43.00333333,
-5.03472221,-42.80138888,
-7.22555554,-35.90472222,19.5
-4.22916666,-38.95888888,
-7.30083333,-39.2711111,
-6.46749999,-37.08499999,25.9
-5.15111111,-36.57305554,25.7
-4.90416666,-37.36694443,26.8
-6.39638888,-39.26888888,28.5
-7.16527777,-34.81555555,22.8
-7.07972221,-37.27277777,25.4
-8.91083333,-36.49333333,16.7
-9.74916666,-37.43083332,24.6
-6.01749999,-40.28138888,
-5.17444443,-39.28944444,
-9.07999999,-44.32777777,28.7
-9.42027777,-36.62027777,20.7
-7.83972221,-35.80111111,
-8.50388888,-39.31527777,25.5
-8.132288,-41.142945,28.7
-8.36444444,-42.2525,29.2
-5.0911111,-38.36472222,26.1
-6.835777,-38.311583,28.5
-7.89444444,-37.12472221,
-4.2761111,-41.79444444,29.4
-8.37638888,-43.85944444,27.8
-9.28583333,-43.32444443,
-3.89944444,-42.25944444,
-4.83777777,-37.69972221,25.8
-5.62666666,-37.815,
-8.36527777,-36.02833332,16.7
-5.18666666,-40.67222221,29.3
-7.0711111,-41.40416666,30.0
-5.16,-35.48749999,25.8
-9.03305554,-42.70111111,
-7.44138888,-44.34499999,25.7
-7.07777777,-40.36277777,
-7.48333333,-36.28638888,21.4
-8.50944444,-37.71166666,
-7.95416666,-38.29499999,
-8.59888888,-38.58416666,24.6
-6.56194444,-35.13527777,21.7
-9.80444444,-36.61916666,21.2
-6.97416666,-42.14694444,25.5
-10.1286111,-36.28638888,23.5
-9.28749999,-35.56583333,
-8.66666666,-35.56805554,21.2
-5.90555555,-38.62777777,
-3.48416666,-39.5886111,
-3.1211111,-40.08722221,
-5.34916666,-41.51222222,31.2
-5.91111111,-42.7186111,
-6.4236111,-41.74888888,29.1
-9.87527777,-45.34583333,27.1
-8.11805554,-42.97583332,29.3
-7.88583333,-40.10277777,
-6.22805554,-36.02666666,22.9
-3.73222221,-41.01194444,
-4.97888888,-39.05722222,25.9
-8.05805555,-39.0961111,25.6
-9.62222221,-37.76722221,23.7
-5.53499999,-36.87222221,26.8
-7.31833332,-38.14083333,
-10.42916666,-45.17305554,
-8.333531,-45.094625,
-4.86416666,-42.14555555,33.2
-6.08944444,-42.72749999,
-13.005515,-38.50576,23.8
-12.12472221,-45.02694443,
-12.762552,-38.16906,
-12.1525,-45.82972221,26.8
-17.73944444,-39.25861111,23.0
-12.67555554,-39.08944444,20.9
-13.52777777,-40.11972221,17.2
-12.52416666,-40.29972221,22.1
-10.9525,-37.05444444,25.6
-14.65888888,-39.18138888,21.2
-9.37805554,-38.22666666,
-12.13166666,-40.35416666,
-12.1961111,-38.96749999,
-14.88638888,-40.80138888,18.0
-11.00333333,-44.53638888,
-13.33249999,-44.61749999,21.1
-11.27249999,-37.79499999,22.7
-13.25111111,-43.40527777,
-10.73805555,-38.10833333,
-10.39972221,-37.74749999,
-10.47388888,-36.48194443,24.0
-17.96305555,-38.70333333,
-9.62555554,-42.07722221,
-11.32888888,-41.86444444,21.5
-12.55777777,-41.38888888,22.4
-14.20805555,-42.74972221,25.3
-16.38888888,-39.18249999,
-10.44305555,-40.14833333,23.0
-11.08472221,-43.13888888,27.7
-13.155681,-41.774125,17.3
-12.03583333,-37.68388888,23.9
-10.72305554,-43.65111111,
-14.18194443,-41.67222221,23.3
-13.00944444,-39.61694443,18.6
-9.8336111,-39.49555555,
-10.98472221,-39.61694443,
-15.28027777,-39.09138888,21.8
-13.90694444,-38.97222221,
-12.19305555,-43.21333333,
-11.205,-40.465,
-11.66472222,-39.02305554,
-10.53722221,-38.99666666,21.4
-10.455,-41.20694444,23.0
-13.3436111,-39.12666666,
-14.17138888,-39.69249999,
-15.24472221,-40.22944443,22.1
-16.08805555,-39.21527777,20.5
-9.00138888,-39.9125,
-10.01833332,-42.50027777,
-10.08083332,-38.34583333,24.7
-10.67166666,-37.47138888,
-11.05222222,-45.20083333,22.3
-10.20777777,-37.43194443,22.8
-13.03888888,-42.61722221,
-17.00694444,-39.55805555,
-12.80833333,-38.49583333,22.5
-11.05861111,-38.44416666,
-19.95,-44.08333333,
-21.22833332,-43.76777777,20.5
-20.74166666,-42.01749999,
-21.45,-45.95,
-19.60583333,-46.94972221,24.3
-16.68638888,-43.84388888,24.3
-18.91694443,-48.25555555,26.0
-16.16666666,-40.68777777,24.9
-22.86166666,-46.04333333,12.9
-20.762607,-42.864013,20.9
-19.57388888,-42.62249999,
-18.95277777,-49.52499999,26.4
-20.55666666,-43.75611111,21.8
-21.10638888,-44.25083333,23.2
-21.56638888,-45.40416666,23.3
-20.745237,-46.633916,20.9
-21.105,-42.37583332,26.2
-21.769965,-43.364329,23.6
-19.53921,-49.518133,26.6
-19.98583333,-48.15166666,23.9
-19.88388888,-43.96944443,22.9
-17.79888888,-40.25,20.4
-18.996684,-46.985935,17.2
-20.455,-45.45388888,23.7
-19.87527777,-47.43416666,22.7
-14.40833333,-44.40416666,
-17.89284,-41.515423,
-18.200855,-45.459836,
-22.39583333,-44.96194444,19.4
-21.918066,-46.382996,13.3
-22.31444444,-45.37305554,11.4
-18.830354,-41.977007,26.5
-18.78694444,-42.94305555,21.8
-19.53277777,-41.09083333,23.8
-19.88527777,-44.41694443,15.4
-19.48194443,-45.59388888,24.6
-18.231052,-43.648269,18.2
-18.74777777,-44.45388888,
-15.08583333,-44.01611111,21.8
-18.78062,-40.986505,23.5
-17.70555555,-42.38916666,19.9
-16.55416666,-46.88194443,21.9
-14.91222222,-42.80861111,24.7
-15.52416666,-46.43555555,21.7
-17.258064,-44.835556,25.2
-17.56138888,-47.19916666,23.1
-16.36277777,-45.12388888,21.5
-15.30027777,-45.61749999,22.1
-15.75166666,-41.45777777,19.6
-16.57555554,-41.48555555,25.0
-15.72305554,-42.43583333,19.8
-16.16027777,-42.31027777,25.7
-17.78444444,-46.11944443,22.9
-19.73583333,-42.13722221,21.5
-20.03138888,-44.01111111,20.5
-20.26333333,-42.18277777,18.4
-21.54666666,-43.26111111,20.8
-15.44805555,-44.36638888,
-19.23249999,-44.96416666,25.7
-20.91,-47.11416666,22.2
-18.52055554,-46.44055555,23.8
-15.80277777,-43.29694444,
-20.17333332,-44.87499999,25.3
-20.0311111,-46.00888888,
-16.84888888,-42.03527777,25.4
-21.680722,-45.944389,24.6
-19.71,-47.96194444,23.1
-19.45527777,-44.17333332,24.2
-20.715,-44.86444444,22.7
-17.24444444,-46.88166666,24.0
-22.75777777,-43.68472221,24.1
-23.05027777,-43.59555555,24.3
-22.58972221,-43.28222221,19.5
-21.58749999,-41.95833333,
-22.90643,-43.133437,
-22.97527777,-42.02138888,23.8
-21.71472222,-41.34388888,23.4
-22.3761111,-41.81194444,23.1
-22.45138888,-44.44499999,22.1
-22.46472222,-43.29138888,17.6
-22.35805555,-43.69555555,23.9
-20.27083332,-40.30583333,23.9
-19.98833333,-40.57944443,16.7
-19.35694444,-40.0686111,22.0
-20.63638888,-40.74194444,25.1
-18.6761111,-39.86416666,23.5
-20.75055555,-41.48888888,23.2
-22.4486111,-42.98694444,23.0
-23.2236111,-44.72694443,21.5
-22.04166666,-41.05166666,24.0
-22.86138888,-43.41138888,23.7
-21.10083333,-41.03944444,23.9
-18.69527777,-40.39055555,
-22.33472221,-42.67694443,13.9
-22.09833333,-43.20833333,20.2
-22.653579,-44.040916,21.1
-22.86749999,-43.10194444,28.6
-22.97555554,-44.30333333,
-21.9386111,-42.60083333,19.8
-21.95055555,-42.01027777,16.5
-18.29138888,-40.73638888,23.3
-19.40722222,-40.53972221,24.2
-20.38555555,-41.18999999,16.1
-20.46694443,-40.40388888,23.9
-22.37388888,-44.70305555,
-22.93999999,-43.40277777,21.2
-22.34722221,-43.41777777,16.4
-20.483333,-29.321389,
-22.91472222,-43.15944444,
-22.98833333,-43.19055555,25.1
-22.97416667,-43.21777778,
-22.986979,-43.370102,
-22.89472222,-43.29138889,
-22.91111111,-43.22722221,
-20.10416666,-41.10694444,22.1
-22.64583333,-42.41555555,20.7
-22.8711111,-42.60888888,21.6
-23.49638888,-46.61999999,25.2
-20.447195,-54.722615,28.8
-22.5525,-55.71638888,29.8
-20.79499999,-51.71333333,27.9
-22.358052,-49.028877,27.5
-22.75027777,-45.60388888,14.0
-22.11999999,-51.40861111,29.8
-20.58444444,-47.38249999,
-22.30055555,-53.82277777,29.5
-19.69555555,-51.18166666,29.2
-21.980353,-47.883927,21.6
-24.67166666,-47.54583333,20.1
-23.4261111,-47.58555555,23.4
